userId,movieId,rating,timestamp
49,1,5.0,1149447665
49,2,4.5,1149447909
49,10,5.0,1149446885
49,19,3.5,1149447926
49,32,4.0,1149446883
49,34,3.5,1149447738
49,39,3.0,1149447587
49,47,5.0,1149446418
49,50,5.0,1149444898
49,70,4.0,1149445581
49,104,4.0,1149447999
49,110,4.0,1149446569
49,111,5.0,1149445574
49,112,4.0,1149444635
49,145,3.0,1149446737
49,151,4.0,1149444626
49,153,4.0,1149446562
49,160,3.0,1149448078
49,163,4.5,1149448230
49,165,4.0,1149447696
49,168,4.0,1149448352
49,172,4.0,1149446730
49,173,4.0,1149444572
49,185,4.0,1149447806
49,196,3.5,1149448326
49,208,4.0,1149447802
49,223,4.5,1149447041
49,231,3.5,1149447752
49,235,5.0,1149448022
49,253,5.0,1149447789
49,260,5.0,1149444815
49,265,1.0,1149447037
49,288,4.0,1149447831
49,293,5.0,1149446076
49,296,4.5,1149444925
49,316,4.5,1149447723
49,317,4.0,1149448005
49,329,3.5,1149447748
49,333,5.0,1149446732
49,338,4.5,1149446500
49,344,4.0,1149446555
49,349,3.5,1149447707
49,353,4.0,1149447032
49,356,2.5,1149447637
49,364,4.0,1149447735
49,367,3.0,1149447762
49,368,4.5,1149447963
49,370,3.0,1149444624
49,377,4.0,1149447687
49,380,4.5,1149446552
49,410,3.5,1149447906
49,420,3.0,1149448081
49,432,2.5,1149444561
49,434,3.0,1149447781
49,442,4.0,1149447950
49,455,1.0,1149447018
49,466,3.5,1149448217
49,480,4.0,1149447645
49,485,3.5,1149448528
49,500,3.5,1149446874
49,509,4.0,1149447939
49,520,4.0,1149448322
49,527,3.5,1149444879
49,541,5.0,1149445027
49,543,4.0,1149448349
49,551,5.0,1149447013
49,553,4.0,1149448044
49,587,3.5,1149444686
49,588,4.5,1149447681
49,589,4.5,1149447660
49,590,2.5,1149447654
49,592,4.5,1149447649
49,593,4.0,1149444881
49,595,4.5,1149447700
49,608,4.0,1149446871
49,610,4.5,1149447010
49,648,3.5,1149447691
49,653,4.0,1149448074
49,733,4.0,1149447742
