id,rating
1,5.0
2,4.5
10,5.0
19,3.5
32,4.0
34,3.5
39,3.0
47,5.0
50,5.0
70,4.0
104,4.0
110,4.0
111,5.0
112,4.0
145,3.0
151,4.0
153,4.0
160,3.0
163,4.5
165,4.0
168,4.0
172,4.0
173,4.0
185,4.0
196,3.5
208,4.0
223,4.5
231,3.5
235,5.0
253,5.0
260,5.0
265,1.0
288,4.0
293,5.0
296,4.5
316,4.5
317,4.0
329,3.5
333,5.0
338,4.5
344,4.0
349,3.5
353,4.0
356,2.5
364,4.0
367,3.0
368,4.5
370,3.0
377,4.0
380,4.5
410,3.5
420,3.0
432,2.5
434,3.0
442,4.0
455,1.0
466,3.5
480,4.0
485,3.5
500,3.5
509,4.0
520,4.0
527,3.5
541,5.0
543,4.0
551,5.0
553,4.0
587,3.5
588,4.5
589,4.5
590,2.5
592,4.5
593,4.0
595,4.5
608,4.0
610,4.5
648,3.5
653,4.0
733,4.0
741,4.5
750,5.0
778,4.0
780,4.0
784,4.0
786,4.0
799,4.0
832,4.0
858,5.0
899,5.0
903,5.0
908,4.5
912,5.0
913,5.0
919,4.0
920,4.5
923,4.0
953,5.0
968,4.0
1028,5.0
1036,4.5
1073,4.5
1080,4.0
1089,5.0
1090,4.0
1129,4.5
1136,5.0
1193,4.0
1196,5.0
1197,5.0
1198,5.0
1200,4.5
1201,5.0
1203,3.5
1206,4.0
1208,4.0
1210,5.0
1213,4.0
1214,5.0
1215,5.0
1219,4.5
1220,4.5
1221,5.0
1222,4.0
1234,4.0
1240,4.5
1246,4.0
1247,0.5
1249,4.0
1250,4.0
1252,5.0
1254,3.0
1258,4.0
1261,5.0
1266,3.5
1267,4.0
1270,4.0
1274,5.0
1275,4.5
1278,4.5
1288,4.0
1291,5.0
1320,4.5
1321,4.0
1356,5.0
1370,4.0
1374,4.5
1376,4.0
1377,4.0
1380,5.0
1391,4.0
1393,5.0
1394,4.0
1407,4.0
1485,3.0
1500,4.0
1517,4.5
1527,5.0
1544,3.5
1552,4.0
1573,4.0
1580,4.0
1584,4.0
1591,3.0
1617,4.0
1645,4.0
1653,4.0
1676,4.0
1690,4.0
1876,2.0
1909,4.0
1968,4.0
1997,4.5
2000,5.0
2001,4.0
2019,5.0
2028,4.0
2054,3.5
2105,3.5
2115,4.5
2167,4.0
2193,5.0
2194,4.0
2278,4.0
2291,4.5
2321,3.5
2329,4.0
2353,4.0
2396,4.5
2406,4.0
2450,3.0
2502,4.5
2571,5.0
2617,5.0
2628,4.0
2640,4.5
2641,4.0
2642,2.0
2643,2.0
2657,4.0
2683,4.0
2692,4.0
2699,4.0
2700,4.0
2706,4.0
2710,3.0
2712,3.0
2716,4.5
2762,4.0
2791,4.0
2804,4.0
2808,3.5
2858,4.0
2872,3.5
2916,4.0
2918,5.0
2944,4.0
2948,4.5
2951,5.0
2959,5.0
2968,4.0
2985,4.0
2987,4.0
2993,4.0
2997,4.0
3000,5.0
3030,5.0
3052,4.0
3114,4.5
3176,4.0
3267,4.0
3408,3.5
3438,4.0
3439,3.5
3440,3.0
3448,4.5
3471,4.0
3527,3.5
3535,5.0
3578,4.0
3593,4.0
3623,3.0
3635,4.5
3681,5.0
3703,4.5
3740,4.5
3753,3.5
3793,4.5
3863,4.0
3882,4.0
3897,5.0
3977,3.5
3984,4.5
3996,4.0
4034,4.0
4085,3.0
4105,5.0
4128,4.5
4148,4.0
4210,0.5
4226,5.0
4327,4.0
4446,2.5
4487,3.0
4636,3.5
4641,4.0
4678,4.0
4855,4.0
4865,5.0
4878,4.5
4886,3.0
4896,5.0
4973,4.0
4993,5.0
5021,4.5
5060,4.0
5072,4.5
5146,5.0
5254,4.0
5294,4.5
5349,5.0
5418,4.0
5445,3.5
5464,4.0
5489,4.5
5618,4.5
5630,4.5
5669,0.5
5690,4.5
5782,5.0
5816,5.0
5903,5.0
5952,5.0
5971,4.5
5995,4.0
6157,3.5
6283,5.0
6333,4.5
6350,5.0
6461,4.5
6502,4.5
6534,3.5
6539,5.0
6541,4.0
6711,3.5
6755,5.0
6807,5.0
6857,5.0
6874,5.0
6880,3.5
6986,4.0
7090,4.0
7099,4.5
7153,5.0
7360,4.5
7373,4.0
7387,4.5
7438,5.0
7439,4.5
7481,4.0
7482,4.5
7569,4.0
7842,5.0
7925,4.5
8157,4.5
8225,4.0
8228,4.5
8253,4.5
8368,5.0
8370,4.5
8376,5.0
8636,5.0
8874,5.0
8957,1.0
8961,4.0
26242,3.5
26662,4.0
30707,4.0
31221,3.5
31658,5.0
31660,4.5
31696,4.5
32587,5.0
33794,4.5
33834,4.0
34150,4.0
34153,3.0
34405,5.0
37382,3.5
37733,5.0
37830,4.5
40815,5.0
40819,5.0
41566,4.5
44191,5.0
45081,4.5
45499,4.5
